Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Stanley, T.D., Jarrell, S.B.","7102349598;6602438326;","Gender wage discrimination bias? A meta-regression analysis",1998,"Journal of Human Resources","33","4",,"947","973",,115,"10.2307/146404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032422755&doi=10.2307%2f146404&partnerID=40&md5=fecade683f310d1fb4ed1b81fa377212",Article,"Final",,Scopus,2-s2.0-0032422755
"Juhn, C., Murphy, K.M.","6602217134;7402863842;","Wage inequality and family labor supply",1997,"Journal of Labor Economics","15","1",,"72","97",,115,"10.1086/209847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040238656&doi=10.1086%2f209847&partnerID=40&md5=91c51a358790dbfe8b65512935b8d56f",Article,"Final",,Scopus,2-s2.0-0040238656
"Sims, H.P., Gioia, D.A.","",[No title available],1986,"The Thinking Organization",,,,"","",,115,,,Article,"Final",,Scopus,2-s2.0-0004001907
"Sassler, S.","6603538477;","Partnering across the life course: Sex, relationships, and mate selection",2010,"Journal of Marriage and Family","72","3",,"557","575",,114,"10.1111/j.1741-3737.2010.00718.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955536818&doi=10.1111%2fj.1741-3737.2010.00718.x&partnerID=40&md5=ea9512aea58a3268d2027679b4343b3c",Review,"Final",,Scopus,2-s2.0-77955536818
"Brandt, M.J., Reyna, C., Chambers, J.R., Crawford, J.T., Wetherell, G.","26533810000;6603110927;7402475742;9247943800;54941432100;","The Ideological-Conflict Hypothesis: Intolerance Among Both Liberals and Conservatives",2014,"Current Directions in Psychological Science","23","1",,"27","34",,113,"10.1177/0963721413510932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893558019&doi=10.1177%2f0963721413510932&partnerID=40&md5=b908af8396db1a5633e74aa1393fdc88",Article,"Final",,Scopus,2-s2.0-84893558019
"Simons, T., Friedman, R., Liu, L.A., McLean Parks, J.","7005249292;7401990686;11839779100;7202673680;","Racial differences in sensitivity to behavioral integrity: Attitudinal consequences, in-group effects, and ""trickle down"" among Black and non-Black employees",2007,"Journal of Applied Psychology","92","3",,"650","665",,113,"10.1037/0021-9010.92.3.650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248382497&doi=10.1037%2f0021-9010.92.3.650&partnerID=40&md5=bf24daa6867c773a23894a49e10ff9da",Article,"Final",,Scopus,2-s2.0-34248382497
"Cha, S.E., Edmondson, A.C.","11639151200;7003819000;","When values backfire: Leadership, attribution, and disenchantment in a values-driven organization",2006,"Leadership Quarterly","17","1",,"57","78",,112,"10.1016/j.leaqua.2005.10.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30944459429&doi=10.1016%2fj.leaqua.2005.10.006&partnerID=40&md5=a0139d2625375a7136666c7e2d91ec3e",Article,"Final",,Scopus,2-s2.0-30944459429
"Monin, B., Sawyer, P.J., Marquez, M.J.","6603051080;24469004800;51964135600;","The Rejection of Moral Rebels: Resenting Those Who Do the Right Thing",2008,"Journal of Personality and Social Psychology","95","1",,"76","93",,111,"10.1037/0022-3514.95.1.76","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47249156876&doi=10.1037%2f0022-3514.95.1.76&partnerID=40&md5=139578619b10d53cb74dcab743be0c93",Article,"Final",,Scopus,2-s2.0-47249156876
"Light, A., Ureta, M.","","Early-career work experience and gender wage differentials",1995,"Journal of Labor Economics","13","1",,"121","154",,111,,,Article,"Final",,Scopus,2-s2.0-21844510104
"Buser, T., Niederle, M., Oosterbeek, H.","42761066600;6603258903;7004564598;","Gender, competitiveness, and career choices",2014,"Quarterly Journal of Economics","129","3", qju009,"1409","1447",,110,"10.1093/qje/qju009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908590264&doi=10.1093%2fqje%2fqju009&partnerID=40&md5=d3185db7a967fe0da4fcbfdeb3a94f94",Article,"Final",,Scopus,2-s2.0-84908590264
"Kaye, H.S., Jans, L.H., Jones, E.C.","23042293600;26433397600;55448360900;","Why don't employers hire and retain workers with disabilities?",2011,"Journal of Occupational Rehabilitation","21","4",,"526","536",,109,"10.1007/s10926-011-9302-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855232437&doi=10.1007%2fs10926-011-9302-8&partnerID=40&md5=8874983851b3bcece095b5887cbe1895",Article,"Final",Open Access,Scopus,2-s2.0-84855232437
"Simons, T.L.","7005249292;","Behavioral integrity as a critical ingredient for transformational leadership",1999,"Journal of Organizational Change Management","12","2",,"89","104",,109,"10.1108/09534819910263640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033471415&doi=10.1108%2f09534819910263640&partnerID=40&md5=f43c62065a54537b3074e880552b4fa1",Article,"Final",,Scopus,2-s2.0-0033471415
"Chernozhukov, V., Fernández-Val, I., Melly, B.","6507847070;9337516200;57203651005;","Inference on Counterfactual Distributions",2013,"Econometrica","81","6",,"2205","2268",,107,"10.3982/ECTA10582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885351243&doi=10.3982%2fECTA10582&partnerID=40&md5=de8a0920387986a555ba3c9e32810b30",Article,"Final",,Scopus,2-s2.0-84885351243
"Cosmides, L., Tooby, J.","57204339223;6701803104;","Evolutionary psychology: New perspectives on cognition and motivation",2013,"Annual Review of Psychology","64",,,"201","229",,107,"10.1146/annurev.psych.121208.131628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872444310&doi=10.1146%2fannurev.psych.121208.131628&partnerID=40&md5=56d659a1899605f87e69622e7028fc97",Review,"Final",,Scopus,2-s2.0-84872444310
"Gross, E.","","Plus ca change…? The sexual structure of occupations over time",1968,"Social Problems","16","2",,"198","208",,107,,,Article,"Final",,Scopus,2-s2.0-85055762315
"Pillutla, M.M., Murnighan, J.K.","","Being fair or appearing fair: Strategic behavior in ultimatum bargaining",1995,"Academy of Management Journal","38","5",,"1408","1426",,106,,,Article,"Final",,Scopus,2-s2.0-21844513806
"Friedlander, D., Greenberg, D.H., Robins, P.K.","7006908762;35492938000;7007050367;","Evaluating Government Training Programs for the Economically Disadvantaged",1997,"Journal of Economic Literature","35","4",,"1809","1855",,105,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001111888&partnerID=40&md5=772dd6f6f4561c06e0cfc7ac20863a02",Article,"Final",,Scopus,2-s2.0-0001111888
"Ferriman, K., Lubinski, D., Benbow, C.P.","14057964500;7004686165;7004766908;","Work Preferences, Life Values, and Personal Views of Top Math/Science Graduate Students and the Profoundly Gifted: Developmental Changes and Gender Differences During Emerging Adulthood and Parenthood",2009,"Journal of Personality and Social Psychology","97","3",,"517","532",,104,"10.1037/a0016030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68949199496&doi=10.1037%2fa0016030&partnerID=40&md5=c6c035cb424d3ab81b04831b48da711a",Article,"Final",,Scopus,2-s2.0-68949199496
"England, P., Li, S.","7102445759;14319332000;","Desegregation stalled: The changing gender composition of college majors, 1971-2002",2006,"Gender and Society","20","5",,"657","677",,104,"10.1177/0891243206290753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747871464&doi=10.1177%2f0891243206290753&partnerID=40&md5=48767e151006f204e2fad0522fa30479",Article,"Final",,Scopus,2-s2.0-33747871464
"King, R.","","Southern Europe in the changing global map of migration",2000,"Eldorado or Fortress? Migration in Southern Europe",,,,"1","26",,104,,,Article,"Final",,Scopus,2-s2.0-0001907999
"Glass, J.","7201603506;","The Impact of Occupational Segregation on Working Conditions",1990,"Social Forces","68","3",,"779","796",,104,"10.1093/sf/68.3.779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963078558&doi=10.1093%2fsf%2f68.3.779&partnerID=40&md5=392aa6990942cc4fbe455c94869009e3",Article,"Final",,Scopus,2-s2.0-84963078558
"Kalleberg, A.L., Reynolds, J., Marsden, P.V.","7004457941;7403603639;35868333000;","Externalizing employment: Flexible staffing arrangements in US organizations",2003,"Social Science Research","32","4",,"525","552",,103,"10.1016/S0049-089X(03)00013-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345060819&doi=10.1016%2fS0049-089X%2803%2900013-9&partnerID=40&md5=0494ce715dd65e14a44296f7c5563738",Article,"Final",,Scopus,2-s2.0-0345060819
"Fortin, N.M.","7004050059;","The gender wage gap among young adults in the United States: The importance of money versus people",2008,"Journal of Human Resources","43","4",,"884","918",,102,"10.3368/jhr.43.4.884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65449176098&doi=10.3368%2fjhr.43.4.884&partnerID=40&md5=b072ab769e201445776672c6ea1e90b7",Conference Paper,"Final",,Scopus,2-s2.0-65449176098
"Miller, G.E.","7404979189;","Frontier masculinity in the oil industry: The experience of women engineers",2004,"Gender, Work and Organization","11","1",,"47","73",,102,"10.1111/j.1468-0432.2004.00220.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0742270337&doi=10.1111%2fj.1468-0432.2004.00220.x&partnerID=40&md5=9aaa83693da7b75571c75b049a1808d6",Article,"Final",,Scopus,2-s2.0-0742270337
"Sorensen, E.","","The crowding hypothesis and comparable worth",1990,"Journal of Human Resources","25","1",,"55","89",,102,,,Article,"Final",,Scopus,2-s2.0-0001894210
"Manning, W.D., Longmore, M.A., Giordano, P.C.","7201655610;6701381906;7102002949;","The changing institution of marriage: Adolescents' expectations to cohabit and to marry",2007,"Journal of Marriage and Family","69","3",,"559","575",,101,"10.1111/j.1741-3737.2007.00392.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547319536&doi=10.1111%2fj.1741-3737.2007.00392.x&partnerID=40&md5=d83adf5cffcc6f4ebdbe800f410f7ef2",Article,"Final",,Scopus,2-s2.0-34547319536
"Palanski, M.E., Yammarino, F.J.","16444401900;6603737478;","Integrity and Leadership:. Clearing the Conceptual Confusion",2007,"European Management Journal","25","3",,"171","184",,101,"10.1016/j.emj.2007.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249994014&doi=10.1016%2fj.emj.2007.04.006&partnerID=40&md5=a3d763ef7eb9bd2f1b25427be0242483",Article,"Final",,Scopus,2-s2.0-34249994014
"Norton, M.I., Cooper, J., Monin, B., Hogg, M.A.","35410157200;7406075173;6603051080;7006277794;","Vicarious Dissonance: Attitude Change from the Inconsistency of Others",2003,"Journal of Personality and Social Psychology","85","1",,"47","62",,101,"10.1037/0022-3514.85.1.47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141865555&doi=10.1037%2f0022-3514.85.1.47&partnerID=40&md5=776b91a60ab8643954672feaf93dbb36",Article,"Final",,Scopus,2-s2.0-0141865555
"Sassler, S., Schoen, R.","6603538477;7102066743;","The effect of attitudes and economic activity on marriage",1999,"Journal of Marriage and Family","61","1",,"147","159",,101,"10.2307/353890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033074839&doi=10.2307%2f353890&partnerID=40&md5=ff8edc0d103fc3cb96e3f6b3e782b3e4",Article,"Final",,Scopus,2-s2.0-0033074839
"Ely, R.J., Meyerson, D.E.","7006116221;6603211015;","An organizational approach to undoing gender: The unlikely case of offshore oil platforms",2010,"Research in Organizational Behavior","30","C",,"3","34",,100,"10.1016/j.riob.2010.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649449576&doi=10.1016%2fj.riob.2010.09.002&partnerID=40&md5=5678966489dd81d0c460d19ad49c7ac1",Review,"Final",,Scopus,2-s2.0-78649449576
"Frank, R.H.","56778074300;","Why women earn less: The theory and estimation of differential over qualification",1978,"American Economic Review","68","3",,"360","373",,100,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879475882&partnerID=40&md5=577a0b04c6081be689cab5b8ffb89f01",Article,"Final",,Scopus,2-s2.0-84879475882
"Kruse, D., Schur, L.","7006527955;56135566200;","Employment of people with disabilities following the ADA",2003,"Industrial Relations","42","1",,"31","64",,99,"10.1111/1468-232X.00275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036461665&doi=10.1111%2f1468-232X.00275&partnerID=40&md5=c6484f6b9a54a6ca838a5682e0f012f6",Article,"Final",,Scopus,2-s2.0-0036461665
"McCue, K.","7006921449;","Promotions and wage growth",1996,"Journal of Labor Economics","14","2",,"175","209",,99,"10.1086/209808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030528871&doi=10.1086%2f209808&partnerID=40&md5=e844724289eac1e4f7da0e182ef7f1f6",Article,"Final",,Scopus,2-s2.0-0030528871
"Valdesolo, P., Desteno, D.","14008544900;6603375152;","Moral hypocrisy: Social groups and the flexibility of virtue",2007,"Psychological Science","18","8",,"689","690",,98,"10.1111/j.1467-9280.2007.01961.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547567813&doi=10.1111%2fj.1467-9280.2007.01961.x&partnerID=40&md5=6c2dc0d76e52e4ffdaa0bd910406561b",Article,"Final",,Scopus,2-s2.0-34547567813
"Autor, D.H., Donohue III, J.J., Schwab, S.J.","6602634280;7202771425;7103390991;","The costs of wrongful-discharge laws",2006,"Review of Economics and Statistics","88","2",,"211","231",,98,"10.1162/rest.88.2.211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745442207&doi=10.1162%2frest.88.2.211&partnerID=40&md5=64beffff98a1e529c1a69185e2f4204e",Article,"Final",,Scopus,2-s2.0-33745442207
"Preston, A.E.","23029114900;","Leaving science: Occupational exit from scientific careers",2004,"Leaving Science: Occupational Exit from Scientific Careers",,,,"1","201",,98,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012857638&partnerID=40&md5=65e6c6d9944eb27cf5df362022035ac9",Book,"Final",,Scopus,2-s2.0-85012857638
"Viscusi, W.K.","","Sex differences in worker quitting",1980,"Review of Economics and Statistics","62","3",,"388","398",,98,,,Article,"Final",,Scopus,2-s2.0-0000745653
"Williams, W.M., Ceci, S.J.","35613921600;7005445977;","National hiring experiments reveal 2:1 faculty preference for women on STEM tenure track",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","17",,"5360","5365",,97,"10.1073/pnas.1418878112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928659831&doi=10.1073%2fpnas.1418878112&partnerID=40&md5=1a29072decb1e026d248b4244250eaa8",Article,"Final",Open Access,Scopus,2-s2.0-84928659831
"Bilimoria, D., Joy, S., Liang, X.","6602386904;24779508800;12791874300;","Breaking barriers and creating inclusiveness: Lessons of organizational transformation to advance women faculty in academic science and engineering",2008,"Human Resource Management","47","3",,"423","441",,96,"10.1002/hrm.20225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51549093664&doi=10.1002%2fhrm.20225&partnerID=40&md5=3234a32e0e74c9c4df22cf7c48c7a6de",Review,"Final",,Scopus,2-s2.0-51549093664
"Haurin, D.R., Hendershott, P.H., Wachter, S.M.","","Borrowing constraints and the tenure choice of young households",1997,"Journal of Housing Research","8","2",,"137","154",,96,,,Article,"Final",,Scopus,2-s2.0-0000298441
"Cox, T., Beale, R.L.","",[No title available],1997,"Developing Competency to Manage Diversity",,,,"","",,96,,,Article,"Final",,Scopus,2-s2.0-0003594299
"Chambers, J.R., Schlenker, B.R., Collisson, B.","7402475742;7003508150;55584991300;","Ideology and Prejudice: The Role of Value Conflicts",2013,"Psychological Science","24","2",,"140","149",,95,"10.1177/0956797612447820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873536952&doi=10.1177%2f0956797612447820&partnerID=40&md5=0706650c54df6a6c810d03e628a6868e",Article,"Final",,Scopus,2-s2.0-84873536952
"Ho, A.K., Sidanius, J., Levin, D.T., Banaji, M.R.","26025873100;7003730885;7202969153;57201608286;","Evidence for Hypodescent and Racial Hierarchy in the Categorization and Perception of Biracial Individuals",2011,"Journal of Personality and Social Psychology","100","3",,"492","506",,95,"10.1037/a0021562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952098228&doi=10.1037%2fa0021562&partnerID=40&md5=fa4919af002c1ae684b627cf5c56edd6",Article,"Final",,Scopus,2-s2.0-79952098228
"Waldfogel, J.","7005529343;","The impact of the family and medical leave act",1999,"Journal of Policy Analysis and Management","18","2",,"281","302",,95,"10.1002/(SICI)1520-6688(199921)18:2<281::AID-PAM5>3.0.CO;2-J","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033472680&doi=10.1002%2f%28SICI%291520-6688%28199921%2918%3a2%3c281%3a%3aAID-PAM5%3e3.0.CO%3b2-J&partnerID=40&md5=b442891867617c1b3fff8d14580453fe",Article,"Final",,Scopus,2-s2.0-0033472680
"Feather, N.T.","7005712811;","Reactions to Penalties for an Offense in Relation to Authoritarianism, Values, Perceived Responsibility, Perceived Seriousness, and Deservingness",1996,"Journal of Personality and Social Psychology","71","3",,"571","587",,94,"10.1037/0022-3514.71.3.571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030240190&doi=10.1037%2f0022-3514.71.3.571&partnerID=40&md5=31b5b73a7a51876bb3ec5bc4cdb57560",Article,"Final",,Scopus,2-s2.0-0030240190
"Barron, J.M., Black, D.A., Loewenstein, M.A.","","Gender differences in training, capital, and wages",1993,"Journal of Human Resources","28","2",,"343","364",,94,,,Article,"Final",,Scopus,2-s2.0-0000504251
"Duncan, G.J., Holmlund, B.","","Was Adam Smith right after all? Another test of the theory of compensating wage differentials",1983,"Journal of Labor Economics","1","4",,"366","379",,94,,,Article,"Final",,Scopus,2-s2.0-0001690398
